A1,A1,A1,250,244,200
A2,A2,A2,255,255,213
A3,A3,A3,254,255,139
A4,A4,A4,251,237,86
A5,A5,A5,244,215,56
A6,A6,A6,254,172,76
A7,A7,A7,254,139,76
A8,A8,A8,255,218,69
A9,A9,A9,255,153,91
A10,A10,A10,247,124,49
A11,A11,A11,255,221,153
A12,A12,A12,254,159,114
A13,A13,A13,255,195,101
A14,A14,A14,253,84,61
A15,A15,A15,255,243,101
A16,A16,A16,255,255,159
A17,A17,A17,255,227,110
A18,A18,A18,254,190,125
A19,A19,A19,253,124,114
A20,A20,A20,255,213,104
A21,A21,A21,255,227,149
A22,A22,A22,244,245,125
A23,A23,A23,230,201,183
A24,A24,A24,247,248,162
A25,A25,A25,255,214,125
A26,A26,A26,255,200,48
B1,B1,B1,230,238,49
B2,B2,B2,99,243,71
B3,B3,B3,158,247,128
B4,B4,B4,93,224,53
B5,B5,B5,53,227,82
B6,B6,B6,101,226,166
B7,B7,B7,61,175,128
B8,B8,B8,28,156,79
B9,B9,B9,39,82,58
B10,B10,B10,149,211,194
B11,B11,B11,93,114,42
B12,B12,B12,22,111,65
B13,B13,B13,202,235,123
B14,B14,B14,173,233,70
B15,B15,B15,46,81,50
B16,B16,B16,197,237,156
B17,B17,B17,155,177,58
B18,B18,B18,230,238,73
B19,B19,B19,36,184,140
B20,B20,B20,194,240,204
B21,B21,B21,21,106,107
B22,B22,B22,11,60,67
B23,B23,B23,48,58,33
B24,B24,B24,238,252,165
B25,B25,B25,78,132,109
B26,B26,B26,141,122,53
B27,B27,B27,204,225,175
B28,B28,B28,158,229,185
B29,B29,B29,197,226,84
B30,B30,B30,226,252,177
B31,B31,B31,176,231,146
B32,B32,B32,156,171,90
C1,C1,C1,232,255,231
C2,C2,C2,169,249,252
C3,C3,C3,160,226,251
C4,C4,C4,65,204,255
C5,C5,C5,1,172,235
C6,C6,C6,80,170,240
C7,C7,C7,54,119,210
C8,C8,C8,15,84,192
C9,C9,C9,50,75,202
C10,C10,C10,62,188,226
C11,C11,C11,40,221,222
C12,C12,C12,28,51,77
C13,C13,C13,205,232,255
C14,C14,C14,213,253,255
C15,C15,C15,34,196,198
C16,C16,C16,21,87,168
C17,C17,C17,4,209,246
C18,C18,C18,29,51,68
C19,C19,C19,24,135,162
C20,C20,C20,23,109,175
C21,C21,C21,190,221,255
C22,C22,C22,103,180,190
C23,C23,C23,200,226,255
C24,C24,C24,124,196,255
C25,C25,C25,169,229,229
C26,C26,C26,60,174,216
C27,C27,C27,211,223,250
C28,C28,C28,187,207,237
C29,C29,C29,52,72,142
D1,D1,D1,174,180,242
D2,D2,D2,133,142,221
D3,D3,D3,47,84,175
D4,D4,D4,24,42,132
D5,D5,D5,184,67,197
D6,D6,D6,172,123,222
D7,D7,D7,136,84,179
D8,D8,D8,226,211,255
D9,D9,D9,213,185,248
D10,D10,D10,54,24,81
D11,D11,D11,185,186,225
D12,D12,D12,222,154,212
D13,D13,D13,185,0,149
D14,D14,D14,139,39,155
D15,D15,D15,47,31,144
D16,D16,D16,227,225,238
D17,D17,D17,196,212,246
D18,D18,D18,164,94,199
D19,D19,D19,216,195,215
D20,D20,D20,156,50,178
D21,D21,D21,154,0,155
D22,D22,D22,51,58,149
D23,D23,D23,235,218,252
D24,D24,D24,119,134,229
D25,D25,D25,73,79,199
D26,D26,D26,223,194,248
E1,E1,E1,253,211,204
E2,E2,E2,254,192,223
E3,E3,E3,255,183,231
E4,E4,E4,232,100,158
E5,E5,E5,245,81,162
E6,E6,E6,241,61,116
E7,E7,E7,198,52,120
E8,E8,E8,255,219,233
E9,E9,E9,233,112,204
E10,E10,E10,211,55,147
E11,E11,E11,252,221,210
E12,E12,E12,247,143,195
E13,E13,E13,181,0,109
E14,E14,E14,255,209,186
E15,E15,E15,248,199,201
E16,E16,E16,255,243,235
E17,E17,E17,255,226,234
E18,E18,E18,255,199,219
E19,E19,E19,254,186,213
E20,E20,E20,216,199,209
E21,E21,E21,189,157,161
E22,E22,E22,183,133,161
E23,E23,E23,147,122,141
E24,E24,E24,225,188,232
F1,F1,F1,253,149,123
F2,F2,F2,252,61,70
F3,F3,F3,247,73,65
F4,F4,F4,252,40,60
F5,F5,F5,231,0,47
F6,F6,F6,148,54,48
F7,F7,F7,151,25,55
F8,F8,F8,188,0,40
F9,F9,F9,226,103,122
F10,F10,F10,138,69,38
F11,F11,F11,90,33,33
F12,F12,F12,253,78,106
F13,F13,F13,243,87,68
F14,F14,F14,255,169,173
F15,F15,F15,211,0,34
F16,F16,F16,254,194,166
F17,F17,F17,230,156,121
F18,F18,F18,211,124,70
F19,F19,F19,193,68,74
F20,F20,F20,205,147,145
F21,F21,F21,247,180,198
F22,F22,F22,253,192,208
F23,F23,F23,246,126,102
F24,F24,F24,230,152,170
F25,F25,F25,229,75,79
G1,G1,G1,255,226,206
G2,G2,G2,255,196,170
G3,G3,G3,244,195,165
G4,G4,G4,225,179,131
G5,G5,G5,237,176,69
G6,G6,G6,233,156,23
G7,G7,G7,157,91,62
G8,G8,G8,117,56,50
G9,G9,G9,230,180,131
G10,G10,G10,217,140,57
G11,G11,G11,224,197,147
G12,G12,G12,255,200,144
G13,G13,G13,183,113,74
G14,G14,G14,141,97,76
G15,G15,G15,252,249,224
G16,G16,G16,242,217,186
G17,G17,G17,120,82,75
G18,G18,G18,255,228,204
G19,G19,G19,224,121,53
G20,G20,G20,169,64,35
G21,G21,G21,184,133,88
H1,H1,H1,253,251,255
H2,H2,H2,254,255,255
H3,H3,H3,182,177,186
H4,H4,H4,137,133,140
H5,H5,H5,72,70,78
H6,H6,H6,47,43,47
H7,H7,H7,0,0,0
H8,H8,H8,231,214,219
H9,H9,H9,237,237,237
H10,H10,H10,238,233,234
H11,H11,H11,206,205,213
H12,H12,H12,255,245,237
H13,H13,H13,245,236,210
H14,H14,H14,207,215,211
H15,H15,H15,152,166,168
H16,H16,H16,29,20,20
H17,H17,H17,241,237,237
H18,H18,H18,255,253,240
H19,H19,H19,246,239,226
H20,H20,H20,148,159,163
H21,H21,H21,255,251,225
H22,H22,H22,202,202,212
H23,H23,H23,154,157,148
M1,M1,M1,188,198,184
M2,M2,M2,138,163,134
M3,M3,M3,105,125,128
M4,M4,M4,227,210,188
M5,M5,M5,208,204,170
M6,M6,M6,176,167,130
M7,M7,M7,180,164,151
M8,M8,M8,179,130,129
M9,M9,M9,165,135,103
M10,M10,M10,197,178,188
M11,M11,M11,159,117,148
M12,M12,M12,100,71,73
M13,M13,M13,209,144,102
M14,M14,M14,199,115,98
M15,M15,M15,117,125,120
